Dias;B1;B2;BK1;BK2;C;C3;C4;C5;D;DK;E1;E2;EK1;EK2;F;FK;G;J1;J2;JK1;JK2;L1;L2;LK1;M1;M2;MK1;MK2;N;NK;X
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
